Gene	C3N_01408	C3N_02088	C3N_03076	C3N_01489	C3N_02928	C3N_03057	C3N_00560	C3N_02150	C3N_00551	C3N_02089	C3N_03054	C3N_01028	C3N_01016	C3N_02153	C3N_00556	C3N_04127	C3N_00578	C3N_01023	C3N_00545	C3N_02421	C3N_00180	C3N_02425	C3N_00546	C3N_00580	C3N_02424	C3N_02572	C3N_00167	C3N_02155	C3N_00555	C3N_01415	C3N_00547	C3N_02090	C3N_01017	C3N_02142	C3N_01019	C3N_01410	C3N_00169	C3N_03073
STPG1	8.93906148770874	9.84642540413409	8.92079486077364	8.78982945432938	9.22032250753695	9.10072322088162	8.79883121498008	8.63121208015764	8.63952746825171	8.7733822641377	9.22537363335138	9.07554498228814	8.1750976050737	9.31717402593199	8.67055296656339	8.92345238275221	9.17579716528602	8.56099299495902	8.77097145002875	9.13960462858431	9.5025536195228	9.89761898493928	8.91209721813406	8.96813793990099	8.8380366231891	9.54069153263661	9.2871214719145	8.38432226129911	9.65801016817668	8.97769205357799	9.01500049949448	8.89341839146044	9.31481949686647	8.76380621595053	8.27286054795279	8.61429454015419	9.18048296041641	9.22792436744547
NIPAL3	11.3537544268414	11.7035659748567	11.1080149561042	10.8781219618846	11.6648420756406	11.9562785596986	11.1325916094213	11.5981187426448	10.4351156695776	10.4174923315864	11.3992573415055	10.7206113257766	10.2329440505078	12.2367597625749	10.8475976481857	10.7296256625137	11.4173532030727	10.3869965858829	11.1702054678161	11.6558436325005	10.8275564145463	11.0975776746845	11.5326344263859	11.2585983335849	10.8549314144763	11.5446352296362	11.3690127797662	10.0501632645691	10.6969630065751	11.2123776310998	10.7178655846514	11.723494229937	10.9489913537408	10.6370661424292	10.5080561204658	10.293865069494	10.8093048097082	12.3825159314738
LAS1L	10.566752245292	10.5543457140042	10.5216084358371	10.8144187047346	10.6458148095251	10.9184210970254	10.7282652991391	10.2873086391013	10.338313524848	10.2358960437711	10.6189660311563	11.1311733631676	10.5656681983694	10.6364523983173	10.6439995506209	10.4543201337142	10.7632806462492	10.8095666244861	10.6517690323406	10.3525214620186	10.6033108099571	12.1031266171026	10.6929339074491	10.8287165141412	10.6094782778316	10.7546293473092	11.3476060436046	11.126951211218	11.1770677363198	11.4124547368383	10.7604742710021	10.4195176405861	10.870097602916	11.1669562488365	10.9613871914241	10.7432527524579	10.7664087487733	10.4429942773987
ENPP4	11.4091973695488	11.2639575275532	10.2221091596342	11.2255242693789	10.9463174329951	11.5325873418851	10.5408815793502	11.0496042122767	10.6624949604222	9.25978587560653	11.4142767621032	10.0269920709517	10.9915499762496	11.1611076034326	9.98141944066478	10.2090667623018	10.9947696658384	10.8315066835223	11.122322886629	11.3817612783202	10.2553500208597	7.67663554247777	10.1357449987383	11.7460841593303	10.4757400015119	11.4995215208988	11.3694376843041	10.6530024152301	10.707884398436	11.3808140616152	10.3508524650891	10.9625621554193	9.67739765076074	10.9281115102467	10.8205881660415	11.293370740095	10.6627200013827	12.5002845856165
SEMA3F	9.22205570515808	8.81607725385128	10.562800250775	9.34481526737355	9.58897019281812	8.11103287332719	10.9204764430817	9.17540526930913	10.1886936030597	9.78568583556597	9.00834312727338	11.3974957966333	9.72679724034513	9.63140442317064	9.72680340606426	10.6299715903378	10.1952392509527	10.396858282582	10.2521996932143	9.07635492756319	9.90967693228651	11.9737967136578	8.91800634153062	9.64696765238035	9.75344740158952	8.48168935360905	9.20016497589074	10.6734830148733	11.6079759639221	8.86422755600219	9.88584702745674	10.5501114527951	10.9059719827324	9.44447761111592	9.66644763878509	9.7691401101609	9.7495610908308	8.59797513087774
CFTR	9.32190035222463	9.27948478806796	9.08962121145755	9.80503790690311	9.39720456647897	8.41839324711544	12.6056736476625	10.2385104749956	9.64361173248203	7.94455884887673	9.73867781008352	10.2432823466753	10.8292527337807	9.06497648367499	7.83560992184657	11.3457180585277	10.0260197578528	10.7544802845215	11.600349425038	8.36331194133549	8.8121670175724	6.97463729041081	9.39597644271707	9.54406480973149	7.86199800942124	10.7262272853864	8.98748697869209	8.26469757149045	9.23055129862025	12.6316923957899	10.106110298686	12.5565763992251	8.868714888147	9.08342398189568	8.64476342418794	10.7364836877076	9.71063530987337	9.98629743785699
ANKIB1	11.8777298070728	12.2300394070897	12.5345768252181	12.211938405189	12.0573478528767	12.4143819580109	12.5287361016201	12.1158114870394	12.398050843862	11.9759099224018	12.2617925690294	12.197704927236	12.1003045486257	11.8820210612442	12.700243091517	12.4259995498365	11.729486853964	12.2802852351804	12.0604106479788	12.1032203175563	12.3948688525237	12.4516182687994	12.3635357077925	12.6828739324507	12.6310949730718	12.2366326759746	12.2563017096579	12.6188002685409	12.2258087581755	12.9469327778612	12.0342075629264	12.307724346774	12.3188710920772	12.3275408658636	12.5201828956948	12.4938123531177	12.4844489564302	12.3277118575671
CYP51A1	8.9353129875914	8.48248827017001	8.22761457767273	8.60108913321302	7.9767861322523	8.27971814613114	8.74276998426242	8.37827526306881	9.33765640682959	8.2090718021022	8.08088203698795	8.80636470378848	8.00820394440437	9.01444562628916	8.08666812663624	8.6724473366649	8.17679966934326	9.00568056456478	9.33246811381496	8.82148555902128	9.10792028825087	9.27506947296579	8.85463222758123	9.55950852220275	8.7438795028329	8.40308700342122	8.78910739984722	8.56041663673972	8.64871552430753	8.28677334043608	8.68997618436859	8.16339019930762	8.93685884831753	8.68033035293435	8.50629740929542	8.57499766392086	8.72730867137487	8.7206223185737
KRIT1	8.86600081643078	9.16196731025426	9.50474654760541	9.2008008049991	9.02114331375758	9.76010745727252	9.15942152425755	9.11157949532936	9.24775603984387	8.93417604649374	9.54995597503931	9.10058056708411	9.17924519839712	9.35366756311233	9.36775676151578	9.26959610911868	8.67834902720738	9.2123684630338	8.70261560501644	9.35029867949367	9.02143959171866	9.34754821593365	9.67125844393756	9.29161741047422	9.34678297208979	9.58085305563478	9.23864466645691	9.68118245475984	9.14885188652372	9.62927220731696	8.93883172828855	9.25551785015408	9.69675050889557	9.3922227842753	9.24925856154059	9.35904014427494	9.53345146458522	9.56365429431609
RAD52	9.75473102671303	9.59439688151376	9.86335700032576	9.5384026683282	9.71344022166443	10.1822953618982	9.73853671649836	9.99421983674542	9.81740885806078	10.6820739228573	9.91620118159098	9.79044583736617	8.75940490743732	9.70091597288686	9.48004423752709	9.78096864365548	9.47500779129647	9.63775060830526	9.27612297279043	9.48369134387463	10.3907030963216	10.3745310992684	9.46903631944412	9.90062657809919	9.7141136504648	9.58649789095082	9.09689077626113	9.8557742157105	11.5135040203639	9.56486126583229	9.73073824019577	9.86550326591097	9.82702596416344	9.17854966644336	8.80508120827076	9.97263121418789	9.41835640859581	9.38045785308849
