ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Label
ENSG00000099769.6|IGFALS|protein_coding	61.0916078189719	-1.43031564556688	0.446590567295608	-3.20274486366417	0.00136124520969807	0.278642503739669	
ENSG00000111046.4|MYF6|protein_coding	4.68552243316695	3.23610761831455	1.02019346038897	3.17205289385085	0.00151365435301267	0.278642503739669	
ENSG00000113070.8|HBEGF|protein_coding	993.022239649497	1.27720225956334	0.402955758509293	3.16958433424122	0.00152657150074451	0.278642503739669	
ENSG00000113269.14|RNF130|protein_coding	2645.95960015527	-0.477554646767595	0.150216065889371	-3.1791183182716	0.00147723778125656	0.278642503739669	
ENSG00000125823.12|CSTL1|protein_coding	9.43015919191963	-3.18383140103698	1.00259774300218	-3.17558205497583	0.00149536223686353	0.278642503739669	
ENSG00000136688.11|IL36G|protein_coding	209.936247972573	2.57051362630724	0.804354127766961	3.1957486604109	0.00139468546585031	0.278642503739669	
ENSG00000144476.6|ACKR3|protein_coding	1205.86501540824	1.53555685451786	0.483394172024252	3.17661433129735	0.00149005043639941	0.278642503739669	
ENSG00000159450.12|TCHH|protein_coding	55.5782781274199	1.6379986124856	0.513863322889294	3.18761534346456	0.00143451230660224	0.278642503739669	
ENSG00000164291.17|ARSK|protein_coding	280.125050351858	-0.596407481942159	0.18728302326045	-3.18452506564222	0.00144991753395717	0.278642503739669	
ENSG00000167280.17|ENGASE|protein_coding	1387.0146984144	-0.543734662884873	0.171495899729806	-3.17054030878601	0.00152155720632898	0.278642503739669	
ENSG00000177614.11|PGBD5|protein_coding	351.259101484601	1.51834707462374	0.47369235797624	3.20534424728867	0.00134901033901179	0.278642503739669	
ENSG00000198178.11|CLEC4C|protein_coding	14.1773911657978	1.37770784557466	0.431249143535028	3.19469120397861	0.00139980526689682	0.278642503739669	
ENSG00000288611.1|NPBWR1|protein_coding	114.029043544824	2.73536749891029	0.85532315779843	3.19805148962764	0.00138359573667976	0.278642503739669	
ENSG00000159388.6|BTG2|protein_coding	4234.96275388707	0.917334807053723	0.289912945745488	3.16417331656188	0.00155524150361608	0.281222547775363	
ENSG00000124493.14|GRM4|protein_coding	44.9605157195487	2.11088207193541	0.667920281444504	3.16038025880908	0.001575633542407	0.282271831282321	
ENSG00000100346.18|CACNA1I|protein_coding	85.3877489398201	1.70930899873139	0.541511449957818	3.15655190460801	0.00159646471217195	0.283379809643146	
ENSG00000183770.7|FOXL2|protein_coding	9.86625881807505	3.13868939144586	0.995490882520199	3.15290621597649	0.00161653732689963	0.284334220007764	
ENSG00000221878.13|PSG7|protein_coding	9.7495235569596	3.69900818796999	1.17449269963761	3.14945183491674	0.00163577070166249	0.285125148970863	
ENSG00000129194.8|SOX15|protein_coding	82.8287431026324	1.75913351489499	0.559704937783462	3.14296586673237	0.00167245341288029	0.286923733115398	
ENSG00000145740.19|SLC30A5|protein_coding	1906.23671085823	-0.475752522156073	0.151398321262442	-3.14238967902014	0.00167574849297292	0.286923733115398	
