GeneName	Module	kTotal	kWithin	kOut	kDiff
ENSG00000164045.12|CDC25A|protein_coding	turquoise	520.945028507863	320.498857779719	200.446170728144	120.052687051575
ENSG00000164109.14|MAD2L1|protein_coding	turquoise	511.813844938164	316.106439933544	195.707405004621	120.399034928923
ENSG00000164692.18|COL1A2|protein_coding	paleturquoise	384.885162165574	23.3075594228532	361.577602742721	-338.270043319867
ENSG00000165168.8|CYBB|protein_coding	yellow	477.477757973847	100.732919172159	376.744838801688	-276.011919629529
ENSG00000165591.6|FAAH2|protein_coding	grey60	399.659619065436	42.7524429287907	356.907176136646	-314.154733207855
ENSG00000165810.17|BTNL9|protein_coding	darkgreen	378.32306210486	17.6333216788143	360.689740426046	-343.056418747231
ENSG00000166086.13|JAM3|protein_coding	green	473.537968078898	97.4727559948272	376.065212084071	-278.592456089244
ENSG00000166432.15|ZMAT1|protein_coding	blue	476.587290074796	123.775921212241	352.811368862555	-229.035447650315
ENSG00000167114.13|SLC27A4|protein_coding	black	427.048033051664	81.1978570465461	345.850176005117	-264.652318958571
ENSG00000167261.14|DPEP2|protein_coding	salmon	481.448017672122	37.7425497205187	443.705467951604	-405.962918231085
ENSG00000167434.10|CA4|protein_coding	darkgreen	365.075292127861	19.0560940986291	346.019198029232	-326.963103930603
ENSG00000168028.14|RPSA|protein_coding	white	362.054613410936	36.7528190357032	325.301794375233	-288.54897533953
ENSG00000168306.13|ACOX2|protein_coding	brown	474.712014518196	100.381587873516	374.33042664468	-273.948838771164
ENSG00000168453.15|HR|protein_coding	darkturquoise	431.312257357176	138.629467355028	292.682790002147	-154.053322647119
ENSG00000168484.12|SFTPC|protein_coding	darkgreen	423.987304699532	20.2770163348418	403.71028836469	-383.433272029848
ENSG00000168530.16|MYL1|protein_coding	darkgreen	387.11226752535	18.4544943687102	368.65777315664	-350.20327878793
ENSG00000168542.16|COL3A1|protein_coding	paleturquoise	386.542585912402	22.5199280762516	364.022657836151	-341.502729759899
ENSG00000169064.13|ZBBX|protein_coding	red	440.410142239309	96.7604551617757	343.649687077534	-246.889231915758
ENSG00000169508.7|GPR183|protein_coding	salmon	469.280220730653	35.6488724236683	433.631348306985	-397.982475883317
ENSG00000169710.9|FASN|protein_coding	black	428.962051040626	79.298259043223	349.663791997403	-270.36553295418
ENSG00000169762.17|TAPT1|protein_coding	blue	476.062638030102	123.588490130259	352.474147899843	-228.885657769584
ENSG00000169896.18|ITGAM|protein_coding	yellow	478.06011525313	95.3050450480797	382.75507020505	-287.450025156971
ENSG00000169991.11|IFFO2|protein_coding	darkolivegreen	347.071574880623	9.70174788229917	337.369826998324	-327.668079116024
