GeneName	Module	kTotal	kWithin	kOut	kDiff
ENSG00000274641.2|H2BC17|protein_coding	turquoise	469.913812806018	257.343596085657	212.57021672036	44.7733793652969
ENSG00000197905.10|TEAD4|protein_coding	turquoise	489.346536992342	255.257930758972	234.08860623337	21.1693245256024
ENSG00000152455.16|SUV39H2|protein_coding	turquoise	436.138693761427	254.916105460414	181.222588301013	73.6935171594007
ENSG00000137812.20|KNL1|protein_coding	turquoise	454.386545024437	254.61845884047	199.768086183967	54.8503726565028
ENSG00000124571.18|XPO5|protein_coding	turquoise	439.5354426687	254.41909410075	185.11634856795	69.3027455328008
ENSG00000173456.5|RNF26|protein_coding	turquoise	480.283507789246	253.521952893089	226.761554896157	26.7603979969316
ENSG00000130726.12|TRIM28|protein_coding	turquoise	484.74033302324	252.987915223701	231.75241779954	21.2354974241613
ENSG00000101189.7|MRGBP|protein_coding	turquoise	472.466548705855	252.877575676299	219.588973029556	33.2886026467436
ENSG00000085999.13|RAD54L|protein_coding	turquoise	454.905837284025	252.451880321085	202.45395696294	49.9979233581454
ENSG00000184445.12|KNTC1|protein_coding	turquoise	453.065077324148	252.180388238761	200.884689085386	51.2956991533748
ENSG00000135446.17|CDK4|protein_coding	turquoise	442.797820831888	251.72436570991	191.073455121978	60.6509105879313
ENSG00000127564.17|PKMYT1|protein_coding	turquoise	473.352964719018	251.724068031815	221.628896687203	30.095171344612
ENSG00000156787.17|TBC1D31|protein_coding	turquoise	467.019630404042	251.181444060329	215.838186343713	35.3432577166158
ENSG00000113407.14|TARS1|protein_coding	turquoise	457.530206881913	250.520188898872	207.010017983041	43.5101709158305
ENSG00000168496.4|FEN1|protein_coding	turquoise	441.722156448771	250.076251739778	191.645904708993	58.4303470307852
ENSG00000023734.11|STRAP|protein_coding	turquoise	461.690853143938	249.706139518384	211.984713625554	37.7214258928293
ENSG00000075218.19|GTSE1|protein_coding	turquoise	468.120583179056	249.659931164235	218.460652014821	31.1992791494147
ENSG00000112029.10|FBXO5|protein_coding	turquoise	446.946383724843	249.620786342781	197.325597382062	52.2951889607198
ENSG00000138074.15|SLC5A6|protein_coding	turquoise	455.083920883689	249.250170635202	205.833750248487	43.4164203867148
ENSG00000108055.10|SMC3|protein_coding	turquoise	449.663719647927	249.041062985553	200.622656662374	48.4184063231789
ENSG00000196584.3|XRCC2|protein_coding	turquoise	422.221212390758	249.02559047784	173.195621912918	75.8299685649214
ENSG00000005100.13|DHX33|protein_coding	turquoise	475.18261236187	248.871926601359	226.310685760511	22.5612408408483
ENSG00000120438.12|TCP1|protein_coding	turquoise	466.726940966109	247.905872540554	218.821068425555	29.0848041149984
ENSG00000166851.15|PLK1|protein_coding	turquoise	462.366357416189	247.727814061903	214.638543354286	33.0892707076163
ENSG00000135069.14|PSAT1|protein_coding	turquoise	460.843902682393	246.936233475065	213.907669207328	33.0285642677373
ENSG00000122140.11|MRPS2|protein_coding	turquoise	478.751693794855	246.868757645131	231.882936149724	14.9858214954075
ENSG00000138346.15|DNA2|protein_coding	turquoise	435.001664176306	246.752448679619	188.249215496687	58.5032331829314
ENSG00000132341.12|RAN|protein_coding	turquoise	456.052060892653	246.444609649175	209.607451243477	36.837158405698
ENSG00000148773.14|MKI67|protein_coding	turquoise	461.308206987428	246.259194803762	215.049012183665	31.2101826200972
ENSG00000124784.9|RIOK1|protein_coding	turquoise	450.711484912538	246.148694200933	204.562790711605	41.5859034893275
ENSG00000146918.20|NCAPG2|protein_coding	turquoise	441.110694094044	246.130270036554	194.98042405749	51.1498459790644
ENSG00000167721.11|TSR1|protein_coding	turquoise	456.911959487311	246.046704449783	210.865255037528	35.1814494122552
ENSG00000151503.13|NCAPD3|protein_coding	turquoise	437.671382635262	245.576372534564	192.095010100699	53.4813624338654
ENSG00000277224.2|H2BC7|protein_coding	turquoise	461.563867991068	245.569520305754	215.994347685314	29.5751726204401
ENSG00000166197.17|NOLC1|protein_coding	turquoise	458.704519106339	245.405540440108	213.298978666231	32.1065617738769
ENSG00000136518.17|ACTL6A|protein_coding	turquoise	462.713805382334	245.370988511332	217.342816871002	28.0281716403309
ENSG00000158406.5|H4C8|protein_coding	turquoise	457.41754279207	245.207706356028	212.209836436042	32.9978699199854
ENSG00000161888.11|SPC24|protein_coding	turquoise	436.117623126404	245.121873043133	190.995750083271	54.1261229598616
ENSG00000167088.11|SNRPD1|protein_coding	turquoise	438.936104074629	244.551640139877	194.384463934751	50.167176205126
ENSG00000239672.8|NME1|protein_coding	turquoise	458.352859088662	244.514808259639	213.838050829023	30.6767574306161
ENSG00000134690.11|CDCA8|protein_coding	turquoise	455.881407542215	244.161795314861	211.719612227354	32.4421830875066
ENSG00000179091.5|CYC1|protein_coding	turquoise	491.044914238291	244.096890507081	246.94802373121	-2.85113322412883
ENSG00000275126.2|H4C13|protein_coding	turquoise	460.070889334522	243.182458120801	216.888431213721	26.2940269070799
ENSG00000186871.7|ERCC6L|protein_coding	turquoise	457.29904024469	243.05238386345	214.24665638124	28.8057274822102
ENSG00000197061.5|H4C3|protein_coding	turquoise	453.770975062477	242.758491838577	211.012483223901	31.7460086146758
ENSG00000138095.19|LRPPRC|protein_coding	turquoise	436.394372743815	242.735585581568	193.658787162248	49.07679841932
ENSG00000095002.15|MSH2|protein_coding	turquoise	433.59337883936	242.623447860649	190.969930978711	51.6535168819387
ENSG00000100304.13|TTLL12|protein_coding	turquoise	465.22212173659	241.798843257903	223.423278478686	18.3755647792167
ENSG00000167670.16|CHAF1A|protein_coding	turquoise	429.963961734436	241.712864115291	188.251097619145	53.4617664961463
ENSG00000131153.9|GINS2|protein_coding	turquoise	450.331913014272	240.142584444056	210.189328570216	29.9532558738396
ENSG00000112578.10|BYSL|protein_coding	turquoise	450.700583398516	239.943208732575	210.757374665941	29.1858340666343
ENSG00000146701.12|MDH2|protein_coding	turquoise	460.562847218371	239.873499040011	220.68934817836	19.1841508616509
ENSG00000183684.8|ALYREF|protein_coding	turquoise	445.78103606705	239.748739266801	206.032296800249	33.7164424665525
ENSG00000176749.9|CDK5R1|protein_coding	turquoise	452.761048037625	239.452952776827	213.308095260798	26.1448575160284
ENSG00000168411.14|RFWD3|protein_coding	turquoise	461.544464314624	239.380705673709	222.163758640916	17.2169470327927
ENSG00000139697.14|SBNO1|protein_coding	turquoise	440.773877540249	239.340655354361	201.433222185888	37.9074331684724
ENSG00000139343.10|SNRPF|protein_coding	turquoise	440.288566820598	239.324235501111	200.964331319487	38.3599041816234
ENSG00000132507.18|EIF5A|protein_coding	turquoise	489.058815068419	239.298029635895	249.760785432524	-10.4627557966283
