GeneName	Reg	log2FoldChange
ENSG00000044524.11|EPHA3|protein_coding	Down	-1.3173104471864
ENSG00000256394.3|ASIC5|protein_coding	Down	-1.31726591725311
ENSG00000110484.7|SCGB2A2|protein_coding	Down	-1.31510082205703
ENSG00000090534.20|THPO|protein_coding	Down	-1.31124727954594
ENSG00000248767.2|FOXL3|protein_coding	Down	-1.31088077724872
ENSG00000268320.4|SCGB1C2|protein_coding	Down	-1.31087802050707
ENSG00000235711.4|ANKRD34C|protein_coding	Down	-1.30813583133629
ENSG00000127831.11|VIL1|protein_coding	Down	-1.30809086352433
ENSG00000168412.6|MTNR1A|protein_coding	Down	-1.30790593037254
ENSG00000142224.17|IL19|protein_coding	Down	-1.30733276039057
ENSG00000167618.10|LAIR2|protein_coding	Down	-1.30630534258666
ENSG00000167360.6|OR51Q1|protein_coding	Down	-1.30312784693683
ENSG00000151952.16|TMEM132D|protein_coding	Down	-1.30205249839176
ENSG00000177354.12|C10orf71|protein_coding	Down	-1.30182551900216
ENSG00000189253.7|TRIM64B|protein_coding	Down	-1.30159827295361
ENSG00000152430.18|BOLL|protein_coding	Down	-1.30070084436493
ENSG00000287725.1|AP003071.5|protein_coding	Down	-1.29939644214865
ENSG00000159212.13|CLIC6|protein_coding	Down	-1.29732589762186
ENSG00000054803.4|CBLN4|protein_coding	Down	-1.29344516125515
ENSG00000125207.7|PIWIL1|protein_coding	Down	-1.29017260726676
ENSG00000141668.10|CBLN2|protein_coding	Down	-1.28799507877522
ENSG00000134873.10|CLDN10|protein_coding	Down	-1.28653849081358
ENSG00000269466.4|H3Y1|protein_coding	Down	-1.28564906875753
ENSG00000145850.9|TIMD4|protein_coding	Down	-1.28444625271592
ENSG00000161896.12|IP6K3|protein_coding	Down	-1.28313350900664
ENSG00000184571.13|PIWIL3|protein_coding	Down	-1.27730869208244
ENSG00000110680.13|CALCA|protein_coding	Down	-1.27609430281655
ENSG00000204913.6|LRRC3C|protein_coding	Down	-1.27465712176327
ENSG00000112280.17|COL9A1|protein_coding	Down	-1.27426511885453
ENSG00000204379.11|XAGE1A|protein_coding	Down	-1.26922117835528
ENSG00000104371.5|DKK4|protein_coding	Down	-1.2677911862754
ENSG00000120952.4|PRAMEF2|protein_coding	Down	-1.26629435399022
ENSG00000116678.20|LEPR|protein_coding	Down	-1.26418914054032
ENSG00000178928.8|TPRX1|protein_coding	Down	-1.26307155096101
ENSG00000183733.6|FIGLA|protein_coding	Down	-1.26141182899213
