	MEorange	MEyellowgreen	MEplum1	MEgreen	MEpaleturquoise	MElightyellow	MEyellow	MEskyblue3	MEblue	MEbrown	MEred	MEdarkgreen	MEsalmon	MEcyan	MEgrey60	MEmidnightblue	MEorangered4	MEblack	MEdarkgrey	MEdarkorange	MEwhite	MEdarkolivegreen	MEdarkmagenta	MEviolet	MEturquoise	MEdarkturquoise	MEskyblue
C3N_00167	-0.141805619715867	-0.163723931393566	0.119852880387528	0.0366649351639991	-0.165463721516891	0.158496597660887	0.0333942557340847	-0.121213534605837	0.154092056043086	0.157168324372081	0.183130281231974	0.235067693139377	0.101050656552467	-0.0392147882009673	0.082395221352457	-0.0748004533463669	0.324518284152195	0.0034178809913811	0.0684992824299423	0.147799180249382	-0.181688316331429	-0.0721301634521144	0.132729444689307	-0.0743717110979449	-0.186878450082846	-0.0603127780082808	-0.143460582389171
C3N_02155	-0.269475153203108	-0.166162068488509	-0.0334222929042337	-0.192317222505336	-0.0703924484192012	-0.201563913927769	-0.306502620235595	0.247707443528212	-0.0626719231186131	0.0224671259929517	-0.110979393742503	-0.169401905217571	-0.25186611388926	0.303987052229097	0.117840132264147	0.178712716423165	0.376295059157229	0.124143561088893	-0.0246602651042881	-0.0541210994496909	-0.159424094751409	-0.207824355997913	-0.182979084132533	-0.243845829981895	0.184208079747064	-0.0775801725036496	0.0991842936745017
C3N_00555	-0.0144867812884727	-0.015936388139637	-0.0996621897785311	-0.205077622766145	-0.119363059082073	-0.178626772474279	-0.18360630904714	-0.229267862460343	-0.246877178165607	-0.31242245708489	0.0191308783398372	0.0557464933535919	-0.0208483765325119	-0.212373823135165	-0.295889793737627	-0.0891703672679947	-0.0616058318279625	-0.0199661054319191	0.0971465721498407	-0.235452834618508	0.202934214795035	0.0380515846185008	0.297301729609087	0.266737497412457	0.319871448244522	0.430809358839004	0.449721467004542
C3N_01415	-0.0472619949167446	-0.0177601293604627	-0.147988866419799	0.0421401633599985	0.000828437589884918	0.12775906861881	0.117897161846534	0.0400993700017436	0.0814058422452805	0.0512079219309158	0.0647607423494677	0.0384765217525689	-0.0415375692475468	-0.0981711605345696	-0.0400065202088211	-0.0917864239641954	0.122328892298086	-0.0589835686412666	0.0737638787925017	0.0479822203654607	-0.0896319958891001	0.148867175483701	0.0163303289677096	-0.0416522195948926	-0.00857451231270328	-0.0280984680720427	0.0966537641851249
C3N_00547	-0.105110545567626	0.0452387717925581	0.0376215505274301	0.0450226463850783	0.157484626911207	-0.0764799432673965	-0.213410691089607	-0.0481065594866221	-0.0856830046552463	0.201858013525656	0.0684908443311834	0.213894444132944	-0.06801506379794	0.0430091833463651	0.360382248506522	0.329739186681655	0.227608248086582	0.32170427227923	0.0450689180895463	0.209331546243825	-0.155986589770981	-0.273184690072418	0.0202162833570065	-0.150831244137274	-0.0373946075106598	-0.0849618076021761	-0.238179154590073
C3N_02090	0.145916819154377	0.044566150108239	0.0256533393748492	0.181173655935243	0.0971102202232307	-0.0598514143965262	0.0868747861554446	-0.0875854242931008	0.108642269860813	-0.105290664683483	0.117173871915708	0.12437969794547	0.193386876270749	0.100482856639936	-0.111156260429754	-0.027882696660782	-0.154145711369002	-0.198707692601827	-0.122736715603269	-0.140387927913577	-0.142803298990972	0.10511558813542	-0.0341081551540481	0.0344285651716852	-0.15465057233449	0.100783802214463	-0.0257473923164342
C3N_01017	0.00481350867840899	-0.263707636378883	-0.129949059356066	-0.1604440122409	-0.268981813584882	-0.219164923066573	-0.198232415350178	0.022096322134302	-0.11906163558468	-0.257563170261186	0.0950425129036493	0.0848526708191462	0.100001552234856	-0.0556134107154704	-0.232589018977375	-0.0709097056683328	-0.00518843249518642	-0.101907704537539	-0.0767894427152991	-0.260523927860253	0.023866045002573	0.0973418660584504	0.216394558789787	0.128510037173482	0.209268964568547	0.369028652209712	0.483573711309407
C3N_02142	0.088216378124481	0.0470824168881751	0.0990397474524527	-0.0928837881679122	0.00444736647870876	0.2197498483983	0.10436462405419	0.0996221215400324	-0.0763112192009054	0.135386107694197	-0.184874988658066	-0.135027606072172	-0.0842641657923849	-0.210229161849677	0.0466901913653453	-0.156760657710099	-0.141174632972378	0.13391799542963	0.234272898777367	0.278441932395441	-0.126378587679492	-0.0352801801172093	0.0781133315140548	0.0735267562284003	0.00108671652206889	-0.124407165367593	0.0504281862250157
C3N_01019	0.0457120045307128	-0.0301818573225227	0.0446508332137756	-0.207596194426352	-0.14253798985175	0.256750785683514	0.108438940598343	0.153964537749937	-0.0549221421245713	0.194298062634633	-0.206865922709851	-0.118169293558151	-0.0505143254243966	-0.154790388997928	0.0919939134175186	-0.149570146808442	0.0984817699908821	0.0948743150354019	0.246413371561755	0.210440079682603	0.0951464183096607	0.0106300461187701	0.0924194200210906	-0.00528622153848158	-0.00112031844094583	-0.152311330770829	0.0308349729666554
C3N_01410	-0.0790908272866947	0.0707027444122161	-0.0151316028934438	-0.0389206601530092	0.0366554366553759	-0.159215699842333	-0.127494634728242	0.0437763416701965	-0.0786299904395099	0.0847990100445028	0.11480985183518	0.266552312715456	0.0593360589700539	0.130037731574115	0.323321836504208	0.396387954303137	0.0262868844308744	0.11242592823345	-0.0620480602187185	0.0572381187151296	0.115857254297767	-0.256721381453831	-0.138780017367451	-0.108089608343933	0.0179672357488208	-0.082655096755763	-0.0942788077128773
C3N_00169	-0.11303398551568	0.0646682949644849	0.166385079088746	0.00610079659154302	0.0766763282661565	-0.00725653797806757	-0.019626762143377	-0.0292690266250399	0.00830485856608311	0.058703461622087	0.0875569486475297	0.0449773693257576	-0.0281181941771228	0.0434221420290372	0.131338080097232	0.00944347866478307	0.0416089987422436	0.117165265536295	0.0460775991250209	0.108918618784484	-0.260487069857205	0.0320605329348265	-0.0422403822474552	-0.0911096122778895	-0.00133486463677356	-0.080209448184831	0.0272955219806707
C3N_03073	-0.223824462190294	-0.279110811098753	-0.324398602369378	-0.0974088110996753	-0.278093162430175	0.0299398475936615	-0.0250791142487029	0.344014254823304	0.3408124361971	0.196772577491266	0.0902808613715869	0.0239100178933482	-0.0328410107402096	0.123951740446795	0.0816431708705179	-0.0685345254640488	-0.260234379786964	-0.209516060490318	-0.229280534820831	-0.159155801695382	-0.179298746506468	0.0801793894112453	-0.065773231624337	-0.254173627941849	-0.149319726234023	-0.0944828227358784	-0.0306692500597885
