	MEblack	MEblue	MEbrown	MEcyan	MEdarkgreen	MEdarkgrey	MEdarkmagenta	MEdarkolivegreen	MEdarkorange	MEdarkred	MEdarkturquoise	MEgreen	MEgreenyellow	MEgrey60	MElightcyan	MElightgreen	MElightyellow	MEmagenta	MEmidnightblue	MEorange	MEorangered4	MEpaleturquoise	MEpink	MEplum1	MEpurple	MEred	MEroyalblue	MEsaddlebrown	MEsalmon	MEsienna3	MEskyblue	MEskyblue3	MEsteelblue	MEtan	MEturquoise	MEviolet	MEwhite	MEyellow	MEyellowgreen
C3N_03054	-0.393837744043334	0.240385687724428	-0.0734981896466362	0.15546408385495	0.291560381290582	-0.376340125417039	-0.209867123971221	0.0292279683870529	-0.304009574133098	-0.30731207545309	0.252100026785654	0.314295122663512	0.0284916509485801	-0.0147838682705774	0.319384228389515	0.0594103644353341	-0.247319361522716	-0.0798723106907667	0.0951388785792078	0.293053726284596	-0.257165528408995	-0.10160847676741	0.325326122728979	-0.00593535980690227	-0.0410802599847035	0.580587844473197	0.0966792797589767	-0.159094991250403	0.467788275898305	0.0612766980626765	-0.0983516647360895	-0.000818559218312319	-0.205322378446308	-0.0430366342390369	-0.266855088124814	-0.0803053161784635	-0.0593048428199709	0.126160776938739	-0.193370296963973
C3N_01028	-0.0342085951824353	-0.12687924711127	-0.249798827400905	-0.128333074414518	0.00471678889458417	-0.0317162264822163	0.0104989249259964	-0.0021057640449854	-0.1442566231031	-0.0597202239483742	0.0839079323428894	-0.0286107991999606	0.222657678684026	-0.201936158554295	0.0191085712937248	0.189898652360012	-0.0997258403514651	-0.201105466984555	-0.0897664952253997	0.22248831879035	-0.125943980796317	0.0512220555100559	0.207790266441229	0.0891474971471549	0.173121430194474	-0.104590730292116	0.180417652771291	-0.161663194848683	0.106211040129403	-0.101414137926407	0.181321564378309	-0.203818780458823	-0.233909163723482	-0.00991664327354589	0.10584821945179	0.123248496083765	0.0492490058523775	0.00035067623583287	0.142768801147597
C3N_01016	-0.0517658977553672	-0.0295869071049827	-0.0363435578155793	0.231054914174865	0.0751187747821699	-0.287156860723891	-0.287326680978077	-0.211582009272678	-0.104453233829175	0.103953954066678	-0.0873414305030241	0.0498608765320516	-0.0824985857347273	0.226053834295905	0.2535582726001	-0.158574772489966	-0.279554652386657	-0.195196752260858	0.3220203155191	0.00357666482533336	-0.141858326793234	0.116154420216229	-0.0657222772679745	-0.0496688645422739	0.0295884222863741	-0.0129048918731491	0.0350959630342388	0.253934862707024	0.0443947748054575	-0.288896775020946	-0.152895086800469	0.187460439491159	0.051861635476456	0.352185881607307	0.00456814397140776	-0.184789147449149	-0.136500059031928	-0.145186889558473	-0.0595435274279119
C3N_02153	-0.0481573076467766	0.217075269245147	0.283716554354327	0.11516101613728	-0.186157714779755	0.0514647222449053	0.143434135335352	0.0756469836532491	0.021730567968056	-0.12716010658471	-0.00682003332794072	-0.175864928231701	-0.0447404393888746	-0.0253109317184885	-0.168914157765528	-0.114835286221386	0.124012484221809	0.190505334702802	-0.141648341760413	-0.370807012277366	-0.135025093850068	-0.233755506682813	-0.301876116530463	-0.332788723308027	-0.17949044347603	-0.0260495948382787	-0.0933414042930048	0.000879372611170205	-0.211391093160692	0.156171384193246	0.0311820450704685	0.326902475925911	0.150292906841009	-0.141053219462787	-0.111112977352895	-0.165273779716065	0.196529228397208	-0.0747856692416688	-0.283161048522939
C3N_00556	-0.0172465815829481	-0.093612360586974	-0.0664572138559447	-0.115971947350765	-0.211881337213248	0.0472135095281069	0.0121816388740348	0.233439923169811	0.124980488204126	-0.0225688346494339	-0.149424449394942	0.289432527629195	-0.0616445334837338	-0.15261559860862	-0.0611724215517316	0.0761118740596018	0.207492959974407	0.128851434300719	-0.176342441749029	0.0502954538810331	-0.040318756903538	0.425486361527877	0.117909056574486	0.157768297167898	-0.0325815897215174	-0.176477368120659	-0.212497563319851	-0.0856532133651844	-0.0642738848050875	0.027280887534046	0.0961162393314152	-0.0643718111302565	-0.108629833687777	-0.119185386892877	0.0027857971684614	0.199641024655358	-0.183076103491288	0.215856059073205	0.1914154365794
C3N_04127	-0.135013270151298	-0.101604291148199	-0.221972268102712	-0.18700860081419	0.00669916185322272	-0.0119894025756881	0.120858286021027	0.194545036656322	-0.160346408807819	-0.169789588894826	0.157561310459196	0.101442254444715	0.263159157004807	-0.222322077090062	0.0059049555022641	0.311563997550439	0.0837665046403647	-0.0803982372566718	-0.146582024469181	0.22001346607498	0.00643223706408493	0.165406625645972	0.220410504089451	0.105190640480348	0.250682697323873	-0.0921983791800828	0.108385559361863	-0.213283468532146	0.139663208720372	0.0348471412889645	0.172291850758659	-0.175180352103993	-0.206285969877527	0.00483945123084503	0.0733164207234533	0.36471429350766	-0.0382099923168595	0.122803384713556	0.34948168179428
C3N_00578	-0.11769129794415	0.139630511568536	0.131713361185727	0.110382908033083	0.0282468497092352	-0.0750794386813283	0.0737389558390571	0.105899441101232	-0.0101410600793917	-0.0976283585851948	0.0494833341931703	0.100444467585453	0.00879943075310206	-0.00162354764573494	0.0450344809443558	0.041051066480866	0.115869338940257	0.0926946382039908	0.0206933767379031	-0.0764441096466176	0.210220164595423	0.055116400650753	-0.0502870464719992	-0.0278690483017159	-0.100610598610687	0.0805594945577413	0.0075703777395892	-0.0488143370035835	-0.0119022265731295	0.149440832936012	0.079610945803867	-0.00329236155823614	0.0744993938714398	-0.0553886552376193	-0.143250489394544	-0.0694387859163887	0.040054683815533	0.0747384218945522	-0.0714581613355228
C3N_01023	0.158324219189283	-0.102517988007704	0.0880657970471489	0.118430605537525	0.0342262947086633	-0.0356367593978799	-0.151571872203179	-0.19933819737798	0.142609049795469	0.223677539099062	-0.195859839838589	-0.0751768079279586	-0.138262297344277	0.270270338270355	0.0406894457498499	-0.166205956244985	-0.081123472154083	-0.112521093972473	0.28744898763846	0.101996115067805	-0.0921316457116449	0.0717520135765017	0.0562826543560326	-0.109464584311073	-0.0777457443450307	-0.13801327764629	-0.139001788469162	0.273205258529395	-0.0493567961523078	-0.20341942749574	-0.239576440605163	0.153060056502603	0.16694916002939	0.276144700343185	0.0147852461522206	-0.133162245174002	0.081528304071121	-0.0201476358245193	0.146318110617221
C3N_00545	0.0265353311986637	0.0374892293697132	0.0822757363787514	-0.165777320583134	0.49471540803692	0.131886118305512	0.114785099810836	-0.0869319109529393	0.249490703184128	0.0481857055700404	0.130561547345431	0.170698997826104	-0.0466327048876002	0.119358909321604	-0.0429093531116696	0.072548742860988	0.204607650040455	0.156209207824377	0.0233094847561701	-0.00167276944972965	0.0036624747232149	0.0390968513694578	0.157586068739251	0.41233220656923	-0.0944085844393601	0.17302633347059	-0.0137197815728485	-0.0177330493733506	0.464657457790112	0.163037837593349	-0.0880913829548209	-0.190941204379303	0.129593967265148	-0.0447334954424007	-0.154645346432067	0.218279594921792	0.0131663785031576	0.247166586393294	0.255308409017901
C3N_02421	-0.0518255031746602	0.199929929730215	0.22800198539553	0.0377051491951452	-0.0635020677689303	0.0318768679352466	-0.00249614519222796	0.0254227785800703	0.145545669129574	-0.0101439973812181	0.0340609342772402	0.189082386815593	-0.0602479544552119	0.104881054044451	0.00663184910753093	-0.0140939925136438	0.0944743524771018	0.218514998977722	-0.0249956800929839	-0.208824495760584	0.0318260775675348	0.116415663198121	-0.0433724399252047	-0.0581483524072407	-0.141121696427278	0.0409043208805646	-0.122752867190124	0.015721254486237	0.000350727809488039	0.180218699965502	-0.0881382157630473	0.127909821773551	0.16589401605105	-0.134810791484533	-0.221060943745061	-0.00891303278448813	0.0317568043731083	0.0928320279470857	-0.106643015277089
